	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
SAMD11	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
NOC2L	6.66E-05	9.88E-05	9.67E-05	9.19E-05	0.000112013	6.14E-05	5.27E-05	5.81E-05	6.31E-05	5.27E-05	7.17E-05	9.19E-05	3.98E-05
KLHL17	3.33E-06	6.39E-06	1.00E-08	1.15E-05	1.02E-05	1.57E-06	2.79E-06	5.36E-06	1.00E-08	7.53E-06	2.39E-05	1.00E-08	3.63E-06
PLEKHN1	5.71E-06	6.39E-06	1.38E-05	1.00E-08	1.00E-08	4.34E-07	4.26E-07	1.00E-08	4.22E-06	1.00E-08	1.20E-05	1.00E-08	3.63E-06
PERM1	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.02E-05	1.00E-08	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
HES4	4.45E-05	9.57E-06	1.00E-08	1.00E-08	1.00E-08	4.80E-05	0.000153091	1.53E-05	8.43E-06	1.13E-05	1.00E-08	1.53E-05	2.17E-05
ISG15	0.000326081	0.000153039	8.28E-05	0.000218188	0.000152742	0.000265229	0.000287713	0.000233331	0.000210463	0.000201241	2.39E-05	0.000153101	0.000155631
AGRN	4.13E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.07E-06	1.26E-06	3.83E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
C1orf159	6.34E-06	6.39E-06	1.00E-08	2.30E-05	1.00E-08	9.13E-06	1.24E-05	1.45E-05	4.22E-06	1.69E-05	1.20E-05	1.53E-05	7.25E-06
TTLL10	7.29E-06	7.98E-06	2.07E-05	4.59E-05	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
TNFRSF18	0.000614796	0.000514889	0.000566044	0.000838274	0.000203653	7.18E-05	7.07E-05	7.57E-05	5.89E-05	4.70E-05	0.000143329	7.66E-05	0.000112202
TNFRSF4	9.26E-05	5.58E-05	8.97E-05	0.000769376	7.13E-05	3.51E-05	2.89E-05	1.99E-05	1.26E-05	1.32E-05	4.78E-05	1.53E-05	1.09E-05
SDF4	0.000222245	0.000219989	0.000262319	0.000183739	0.000162924	0.000284951	0.000240387	0.00027464	0.000315689	0.000327245	0.000203045	0.000443973	0.000217156
B3GALT6	3.17E-05	1.75E-05	2.76E-05	1.15E-05	2.04E-05	3.18E-05	2.43E-05	2.07E-05	2.11E-05	3.01E-05	3.58E-05	6.12E-05	1.81E-05
UBE2J2	5.78E-05	5.90E-05	8.97E-05	0.000103358	0.000101831	6.14E-05	5.90E-05	7.80E-05	8.84E-05	7.34E-05	8.36E-05	1.53E-05	7.24E-05
SCNN1D	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.34E-07	4.26E-07	1.00E-08	4.22E-06	3.77E-06	1.20E-05	1.00E-08	1.00E-08
ACAP3	1.03E-05	1.44E-05	1.38E-05	1.15E-05	1.02E-05	1.10E-05	8.61E-06	1.53E-05	2.11E-05	1.32E-05	2.39E-05	1.00E-08	2.17E-05
PUSL1	1.90E-05	1.60E-05	2.07E-05	1.15E-05	2.04E-05	2.15E-05	1.40E-05	9.95E-06	1.26E-05	2.45E-05	3.58E-05	3.06E-05	1.81E-05
CPTP	1.57E-05	1.12E-05	3.45E-05	2.30E-05	1.02E-05	1.61E-05	1.78E-05	2.37E-05	3.37E-05	1.88E-05	1.20E-05	1.53E-05	2.90E-05
TAS1R3	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	2.88E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
DVL1	3.02E-06	3.20E-06	1.00E-08	1.15E-05	1.02E-05	2.55E-06	2.09E-06	2.30E-06	8.43E-06	5.65E-06	1.00E-08	1.00E-08	1.00E-08
MXRA8	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
AURKAIP1	0.000215913	0.000178544	0.000227804	0.000206705	0.000183288	0.000217303	0.000190563	0.000191257	0.000256762	0.000201241	7.17E-05	0.000367427	0.000390872
CCNL2	6.78E-05	9.57E-05	4.83E-05	0.000114841	8.15E-05	6.84E-05	5.65E-05	8.19E-05	7.16E-05	0.000110969	0.000203045	6.12E-05	4.71E-05
VWA1	1.68E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ATAD3C	4.13E-06	7.98E-06	1.00E-08	1.00E-08	1.00E-08	2.34E-06	2.09E-06	1.54E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
ATAD3B	1.82E-05	2.23E-05	3.45E-05	5.74E-05	1.02E-05	1.49E-05	1.25E-05	1.30E-05	8.43E-06	5.65E-06	4.78E-05	1.00E-08	3.26E-05
ATAD3A	1.82E-05	1.75E-05	2.07E-05	1.00E-08	3.06E-05	1.57E-05	1.57E-05	1.61E-05	8.43E-06	1.51E-05	1.20E-05	1.00E-08	5.79E-05
SSU72	0.000187422	0.000248682	0.000234707	0.000229671	0.000213835	0.000216738	0.000177378	0.00026393	0.000328316	0.00025578	0.000298591	0.000352118	0.000177346
MIB2	6.27E-05	9.09E-05	6.21E-05	5.74E-05	9.16E-05	9.44E-05	8.44E-05	0.000109403	0.000101027	0.000101566	9.56E-05	0.000107173	3.26E-05
MMP23B	2.09E-05	3.51E-05	1.38E-05	1.00E-08	6.11E-05	6.78E-05	6.76E-05	6.89E-05	9.68E-05	7.90E-05	3.58E-05	9.19E-05	1.45E-05
CDK11B	6.92E-05	0.000106812	9.67E-05	9.19E-05	0.00014256	7.39E-05	6.12E-05	5.36E-05	6.31E-05	9.22E-05	0.000203045	9.19E-05	7.60E-05
SLC35E2B	3.07E-05	5.58E-05	1.38E-05	8.04E-05	7.13E-05	3.90E-05	2.65E-05	3.14E-05	5.47E-05	4.89E-05	0.000119443	9.19E-05	1.45E-05
CDK11A	5.70E-05	7.17E-05	8.28E-05	3.45E-05	0.000101831	6.97E-05	5.30E-05	6.20E-05	5.47E-05	6.02E-05	0.000179159	6.12E-05	6.15E-05
NADK	3.06E-05	3.19E-05	2.76E-05	5.74E-05	4.07E-05	3.71E-05	4.30E-05	4.21E-05	2.11E-05	5.08E-05	5.97E-05	4.59E-05	3.98E-05
GNB1	8.50E-05	8.77E-05	6.21E-05	8.04E-05	6.11E-05	0.000100103	7.41E-05	8.11E-05	8.84E-05	8.65E-05	0.000179159	0.000122482	0.000101345
CALML6	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TMEM52	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.14E-06	1.54E-06	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PRKCZ	2.26E-05	2.71E-05	6.91E-06	3.45E-05	4.07E-05	1.98E-05	1.78E-05	2.68E-05	2.95E-05	9.41E-06	1.00E-08	1.53E-05	1.09E-05
SKI	7.87E-05	6.86E-05	6.91E-06	4.59E-05	5.09E-05	4.04E-05	2.30E-05	1.07E-05	1.26E-05	2.07E-05	0.000155272	4.59E-05	1.45E-05
MORN1	3.02E-06	1.60E-06	6.91E-06	1.00E-08	1.00E-08	3.40E-06	4.59E-06	1.07E-05	1.00E-08	7.53E-06	1.00E-08	1.53E-05	3.63E-06
RER1	0.000118725	0.000154633	9.67E-05	0.000114841	0.000244381	0.000127884	0.000125611	0.000157597	0.000193627	0.000176792	5.97E-05	9.19E-05	0.000195441
PEX10	1.35E-05	1.60E-05	6.91E-06	5.74E-05	5.09E-05	1.22E-05	1.11E-05	1.30E-05	2.11E-05	1.69E-05	2.39E-05	1.00E-08	7.25E-06
PLCH2	2.22E-05	5.42E-05	6.91E-06	1.00E-08	4.07E-05	4.39E-06	5.98E-06	6.13E-06	8.43E-06	1.89E-06	0.000143329	1.53E-05	3.63E-06
PANK4	1.57E-05	2.23E-05	2.07E-05	2.30E-05	2.04E-05	1.90E-05	1.85E-05	1.68E-05	2.53E-05	3.20E-05	1.00E-08	1.53E-05	1.45E-05
HES5	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	9.82E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TNFRSF14	9.40E-05	0.000124346	0.000124261	0.000126324	0.000193471	0.000228118	0.000215961	0.000266225	0.000315689	0.000297155	9.56E-05	0.000229646	8.32E-05
MMEL1	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	5.65E-07	7.75E-07	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
TTC34	6.43E-07	3.20E-06	1.00E-08	1.00E-08	1.00E-08	2.22E-07	1.49E-07	7.75E-07	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
PRDM16	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	5.65E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ARHGEF16	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
MEGF6	2.23E-06	3.20E-06	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.39E-05	1.00E-08	1.00E-08
TPRG1L	1.19E-05	1.12E-05	6.91E-06	1.15E-05	1.02E-05	1.38E-05	1.11E-05	1.38E-05	1.00E-08	5.65E-06	1.00E-08	4.59E-05	3.63E-06
WRAP73	3.33E-05	2.87E-05	4.83E-05	4.59E-05	6.11E-05	3.78E-05	3.68E-05	4.74E-05	3.37E-05	6.40E-05	5.97E-05	9.19E-05	5.43E-05
TP73	1.12E-06	3.20E-06	1.00E-08	1.00E-08	1.00E-08	2.93E-07	7.04E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SMIM1	8.72E-06	1.28E-05	6.91E-06	1.15E-05	1.02E-05	1.85E-06	2.09E-06	4.60E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
LRRC47	5.76E-05	5.58E-05	4.14E-05	4.59E-05	4.07E-05	4.39E-05	3.83E-05	5.89E-05	6.31E-05	6.40E-05	3.58E-05	1.53E-05	5.07E-05
CEP104	4.12E-05	3.83E-05	6.21E-05	2.30E-05	4.07E-05	3.75E-05	3.11E-05	3.83E-05	2.53E-05	5.45E-05	0.000119443	3.06E-05	1.45E-05
DFFB	8.08E-06	1.75E-05	6.91E-06	1.15E-05	1.00E-08	9.98E-06	1.26E-05	2.07E-05	1.68E-05	1.51E-05	1.20E-05	1.53E-05	1.00E-08
C1orf174	5.43E-05	7.33E-05	4.14E-05	8.04E-05	6.11E-05	0.000115725	0.000102711	0.000119348	0.000101027	0.000118492	9.56E-05	0.000229646	4.71E-05
NPHP4	4.92E-06	3.20E-06	1.00E-08	1.15E-05	1.00E-08	6.51E-06	4.59E-06	5.36E-06	1.00E-08	9.41E-06	1.20E-05	1.00E-08	7.25E-06
KCNAB2	0.000113185	0.000140287	0.000124261	9.19E-05	0.000152742	0.000166408	0.000137963	0.000172897	0.00022309	0.000180554	0.000214989	0.00016841	0.000141155
CHD5	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
RNF207	2.54E-06	7.98E-06	6.91E-06	4.59E-05	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-06
ICMT	2.72E-05	3.35E-05	2.76E-05	3.45E-05	2.04E-05	2.79E-05	2.40E-05	3.44E-05	4.63E-05	4.51E-05	4.78E-05	1.53E-05	4.34E-05
GPR153	1.28E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	2.34E-06	1.40E-06	4.60E-06	1.00E-08	3.77E-06	1.00E-08	1.00E-08	3.63E-06
ACOT7	4.26E-05	2.07E-05	4.14E-05	0.000103358	4.07E-05	2.61E-05	2.47E-05	1.99E-05	2.95E-05	2.07E-05	1.20E-05	1.00E-08	0.000173727
ESPN	9.60E-07	1.60E-06	1.00E-08	2.30E-05	1.00E-08	3.63E-07	8.43E-07	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TNFRSF25	1.84E-05	7.98E-06	1.38E-05	0.000252638	2.04E-05	1.46E-05	1.19E-05	1.61E-05	1.68E-05	2.45E-05	1.00E-08	1.00E-08	1.45E-05
PLEKHG5	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
NOL9	2.82E-05	3.99E-05	3.45E-05	4.59E-05	4.07E-05	2.68E-05	1.99E-05	2.30E-05	1.26E-05	2.26E-05	8.36E-05	4.59E-05	2.53E-05
ZBTB48	1.96E-05	2.39E-05	6.91E-06	5.74E-05	5.09E-05	1.90E-05	2.12E-05	2.60E-05	3.37E-05	4.14E-05	1.20E-05	6.12E-05	2.17E-05
KLHL21	2.42E-05	1.12E-05	6.91E-06	1.15E-05	1.00E-08	2.89E-05	1.96E-05	2.14E-05	1.26E-05	1.13E-05	2.39E-05	3.06E-05	1.09E-05
PHF13	1.11E-05	1.12E-05	1.38E-05	4.59E-05	1.02E-05	1.12E-05	9.03E-06	5.36E-06	4.22E-06	5.65E-06	4.78E-05	1.53E-05	7.25E-06
THAP3	1.69E-05	1.28E-05	1.38E-05	1.00E-08	4.07E-05	1.72E-05	1.65E-05	2.37E-05	2.11E-05	2.45E-05	2.39E-05	1.53E-05	3.26E-05
DNAJC11	1.84E-05	2.71E-05	3.45E-05	3.45E-05	2.04E-05	1.59E-05	1.62E-05	1.99E-05	1.68E-05	4.51E-05	4.78E-05	1.53E-05	3.62E-05
CAMTA1	6.43E-05	6.06E-05	0.000124261	8.04E-05	7.13E-05	6.47E-05	4.97E-05	7.65E-05	5.89E-05	6.40E-05	4.78E-05	9.19E-05	0.000101345
VAMP3	3.89E-05	4.30E-05	1.38E-05	3.45E-05	3.06E-05	4.01E-05	3.42E-05	4.97E-05	3.37E-05	6.40E-05	3.58E-05	3.06E-05	2.90E-05
PER3	4.44E-06	9.57E-06	1.00E-08	1.15E-05	1.00E-08	6.44E-06	6.95E-06	5.36E-06	4.22E-06	3.77E-06	2.39E-05	1.53E-05	1.00E-08
UTS2	4.62E-05	6.70E-05	8.97E-05	9.19E-05	6.11E-05	6.60E-05	7.58E-05	7.80E-05	9.68E-05	6.96E-05	1.20E-05	7.66E-05	2.17E-05
TNFRSF9	6.68E-05	2.87E-05	2.07E-05	1.00E-08	1.00E-08	2.76E-05	4.00E-05	2.30E-05	2.11E-05	3.76E-05	1.20E-05	1.53E-05	3.63E-06
PARK7	0.000430075	0.000352296	0.000331347	0.000367468	0.000498935	0.00041438	0.000390553	0.000460532	0.000559814	0.000485221	0.000131386	0.0004899	0.000687638
ERRFI1	2.60E-05	2.87E-05	1.38E-05	1.00E-08	1.00E-08	4.80E-05	5.30E-05	4.06E-05	8.43E-06	7.53E-06	2.39E-05	1.53E-05	3.62E-05
SLC45A1	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.63E-06	1.40E-06	7.75E-07	8.43E-06	3.77E-06	1.00E-08	1.00E-08	1.00E-08
RERE	3.94E-05	6.86E-05	8.97E-05	2.30E-05	5.09E-05	3.73E-05	3.33E-05	4.21E-05	2.95E-05	3.20E-05	8.36E-05	3.06E-05	2.90E-05
ENO1	0.00060514	0.000475038	0.00053153	0.00059713	0.000458206	0.00046994	0.000387083	0.000468182	0.000513515	0.000515311	0.000298591	0.000443973	0.001092977
SLC2A7	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SLC2A5	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
GPR157	4.13E-06	3.20E-06	1.38E-05	1.15E-05	1.00E-08	7.88E-07	1.26E-06	2.30E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-06
H6PD	1.66E-05	2.39E-05	6.91E-06	1.15E-05	2.04E-05	2.35E-05	1.78E-05	2.53E-05	2.53E-05	3.20E-05	8.36E-05	1.00E-08	1.81E-05
SPSB1	2.04E-05	6.39E-06	6.91E-06	1.15E-05	1.00E-08	3.90E-06	3.76E-06	3.83E-06	4.22E-06	1.00E-08	1.20E-05	3.06E-05	7.25E-06
SLC25A33	7.82E-05	3.67E-05	4.14E-05	3.45E-05	1.02E-05	6.56E-05	6.29E-05	6.73E-05	2.11E-05	4.14E-05	5.97E-05	6.12E-05	5.79E-05
TMEM201	3.81E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	3.26E-06	2.79E-06	2.30E-06	4.22E-06	5.65E-06	1.00E-08	1.00E-08	1.09E-05
PIK3CD	8.50E-05	0.000148257	8.28E-05	0.000160773	0.000101831	6.72E-05	6.40E-05	9.33E-05	5.89E-05	9.22E-05	0.000179159	6.12E-05	5.79E-05
CLSTN1	4.89E-05	4.94E-05	2.07E-05	2.30E-05	6.11E-05	8.57E-05	6.22E-05	8.95E-05	8.00E-05	9.59E-05	0.000119443	0.000107173	3.98E-05
CTNNBIP1	4.96E-05	3.83E-05	0.000131164	0.000103358	5.09E-05	5.56E-05	5.62E-05	6.50E-05	8.42E-05	5.27E-05	1.20E-05	6.12E-05	7.60E-05
LZIC	3.34E-05	4.15E-05	2.76E-05	4.59E-05	3.06E-05	3.69E-05	4.07E-05	5.59E-05	3.79E-05	5.45E-05	5.97E-05	4.59E-05	4.71E-05
NMNAT1	3.49E-06	9.57E-06	1.38E-05	1.00E-08	1.02E-05	3.90E-06	4.03E-06	5.36E-06	4.22E-06	5.65E-06	1.20E-05	1.00E-08	7.25E-06
RBP7	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	4.26E-07	1.00E-08	4.22E-06	1.00E-08	1.00E-08	1.53E-05	1.00E-08
UBE4B	3.10E-05	1.60E-05	4.14E-05	1.15E-05	4.07E-05	3.56E-05	3.15E-05	3.75E-05	7.16E-05	2.63E-05	9.56E-05	3.06E-05	2.53E-05
KIF1B	1.39E-05	1.60E-05	6.91E-06	2.30E-05	2.04E-05	2.31E-05	2.17E-05	1.22E-05	8.43E-06	9.41E-06	2.39E-05	3.06E-05	3.63E-06
PGD	7.47E-05	5.58E-05	7.59E-05	2.30E-05	4.07E-05	7.42E-05	6.27E-05	6.66E-05	5.05E-05	8.09E-05	3.58E-05	9.19E-05	9.05E-05
DFFA	3.42E-05	3.83E-05	5.52E-05	2.30E-05	4.07E-05	2.85E-05	3.14E-05	4.21E-05	3.79E-05	3.20E-05	4.78E-05	3.06E-05	6.88E-05
PEX14	1.62E-05	2.07E-05	2.07E-05	2.30E-05	1.00E-08	2.96E-05	2.01E-05	2.98E-05	4.63E-05	4.33E-05	3.58E-05	4.59E-05	2.17E-05
CASZ1	2.00E-05	2.23E-05	6.91E-06	1.00E-08	2.04E-05	3.34E-05	1.81E-05	1.38E-05	1.26E-05	1.13E-05	2.39E-05	6.12E-05	2.53E-05
C1orf127	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TARDBP	5.26E-05	6.54E-05	5.52E-05	8.04E-05	8.15E-05	5.34E-05	4.10E-05	5.97E-05	8.84E-05	6.21E-05	0.000191102	3.06E-05	5.79E-05
MASP2	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SRM	0.000108436	7.17E-05	8.97E-05	5.74E-05	5.09E-05	5.87E-05	4.72E-05	4.90E-05	7.58E-05	6.02E-05	1.20E-05	7.66E-05	0.000202679
EXOSC10	6.32E-05	7.01E-05	4.83E-05	9.19E-05	8.15E-05	5.55E-05	4.71E-05	6.12E-05	6.31E-05	5.45E-05	0.000131386	4.59E-05	4.34E-05
MTOR	3.34E-05	5.90E-05	4.14E-05	5.74E-05	1.02E-05	3.02E-05	2.75E-05	3.90E-05	3.79E-05	3.39E-05	3.58E-05	4.59E-05	2.90E-05
UBIAD1	2.55E-05	2.71E-05	2.76E-05	1.00E-08	6.11E-05	3.68E-05	3.91E-05	5.59E-05	5.47E-05	3.57E-05	5.97E-05	1.00E-08	4.34E-05
FBXO2	2.76E-05	6.86E-05	1.00E-08	1.00E-08	1.02E-05	1.62E-05	1.51E-05	1.91E-05	1.26E-05	2.82E-05	1.00E-08	1.00E-08	1.00E-08
FBXO44	2.58E-05	7.97E-05	6.91E-06	2.30E-05	8.15E-05	5.02E-05	5.05E-05	8.80E-05	8.42E-05	8.46E-05	3.58E-05	4.59E-05	1.09E-05
FBXO6	3.17E-05	6.06E-05	6.91E-06	2.30E-05	9.16E-05	5.65E-05	6.94E-05	0.000108638	9.68E-05	0.00014294	1.20E-05	3.06E-05	5.07E-05
MAD2L2	9.17E-05	9.88E-05	4.14E-05	4.59E-05	0.000122196	8.77E-05	8.92E-05	0.000118583	0.000130491	0.00011473	3.58E-05	6.12E-05	0.000264204
DRAXIN	1.84E-05	2.55E-05	1.38E-05	1.00E-08	1.00E-08	1.57E-05	1.44E-05	1.99E-05	2.95E-05	2.07E-05	1.20E-05	1.53E-05	2.17E-05
AGTRAP	0.000109703	0.000143475	3.45E-05	4.59E-05	0.000152742	0.000179556	0.000208466	0.000249396	0.000290435	0.000299035	9.56E-05	0.000137792	0.000123059
C1orf167	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MTHFR	1.08E-05	1.60E-05	1.38E-05	1.15E-05	2.04E-05	1.34E-05	1.43E-05	2.83E-05	3.37E-05	2.82E-05	7.17E-05	1.53E-05	3.63E-06
CLCN6	6.18E-06	1.44E-05	6.91E-06	2.30E-05	1.00E-08	9.20E-06	1.21E-05	9.95E-06	2.53E-05	2.45E-05	1.00E-08	3.06E-05	7.25E-06
NPPA	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
KIAA2013	1.05E-05	1.28E-05	6.91E-06	1.00E-08	3.06E-05	1.44E-05	1.19E-05	1.45E-05	1.68E-05	2.45E-05	3.58E-05	4.59E-05	1.81E-05
PLOD1	1.47E-05	1.91E-05	2.07E-05	1.15E-05	1.02E-05	5.87E-05	5.46E-05	7.12E-05	9.68E-05	7.71E-05	2.39E-05	4.59E-05	3.26E-05
MFN2	2.30E-05	3.19E-05	4.14E-05	3.45E-05	4.07E-05	2.55E-05	2.03E-05	2.37E-05	1.68E-05	2.63E-05	5.97E-05	4.59E-05	2.17E-05
MIIP	2.63E-05	5.10E-05	4.83E-05	8.04E-05	5.09E-05	2.51E-05	3.05E-05	3.98E-05	5.47E-05	5.27E-05	1.20E-05	1.53E-05	3.98E-05
TNFRSF8	3.27E-07	3.20E-06	1.00E-08	1.00E-08	1.00E-08	2.93E-07	2.88E-07	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	7.25E-06
TNFRSF1B	0.000581397	0.000342732	0.000138067	6.89E-05	0.000203653	0.001045266	0.000523093	0.000508726	0.000458797	0.000475818	0.000143329	0.0004899	0.000307633
VPS13D	3.56E-05	4.30E-05	4.14E-05	9.19E-05	7.13E-05	3.62E-05	3.32E-05	3.60E-05	3.79E-05	2.82E-05	0.000179159	1.53E-05	2.17E-05
DHRS3	0.000169377	0.000181732	6.21E-05	0.000126324	0.00014256	8.97E-05	0.000132273	0.000123938	7.16E-05	0.000133537	0.000167216	7.66E-05	6.52E-05
PRDM2	9.37E-05	0.000106812	7.59E-05	8.04E-05	6.11E-05	8.44E-05	6.79E-05	7.65E-05	6.31E-05	7.71E-05	0.000191102	6.12E-05	4.34E-05
KAZN	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.64E-06	7.04E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TMEM51	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
FHAD1	1.75E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	5.75E-07	3.90E-06	1.54E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
EFHD2	0.000332254	0.00028694	0.000352056	0.000218188	0.000600756	0.000814966	0.000771798	0.000761936	0.000997556	0.000906489	0.000155272	0.001439062	0.000618875
CTRC	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
CELA2A	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	2.88E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
CASP9	3.67E-05	3.51E-05	1.38E-05	1.15E-05	2.04E-05	2.85E-05	2.01E-05	1.61E-05	1.68E-05	1.69E-05	8.36E-05	1.00E-08	1.45E-05
DNAJC16	9.51E-06	1.91E-05	6.91E-06	1.15E-05	2.04E-05	1.08E-05	9.86E-06	1.91E-05	1.26E-05	2.45E-05	4.78E-05	3.06E-05	1.00E-08
AGMAT	4.13E-06	4.79E-06	1.00E-08	1.15E-05	1.00E-08	6.46E-07	9.82E-07	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.81E-05
DDI2	2.47E-05	4.94E-05	2.07E-05	3.45E-05	1.02E-05	1.89E-05	1.57E-05	1.07E-05	2.11E-05	3.20E-05	4.78E-05	3.06E-05	7.25E-06
PLEKHM2	7.29E-06	7.98E-06	1.38E-05	3.45E-05	2.04E-05	7.71E-06	6.81E-06	3.83E-06	1.00E-08	1.13E-05	1.00E-08	1.00E-08	3.63E-06
SLC25A34	1.68E-07	1.00E-08	6.91E-06	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
