	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
PLOD2	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PLSCR4	1.12E-06	1.60E-06	6.91E-06	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PLSCR2	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PLSCR1	0.00014785	6.22E-05	0.000103553	0.000195222	5.09E-05	8.02E-05	8.55E-05	6.12E-05	6.74E-05	8.65E-05	8.36E-05	1.53E-05	9.05E-05
CPA3	8.01E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	1.49E-07	1.00E-08	4.22E-06	1.00E-08	1.00E-08	1.53E-05	1.00E-08
GYG1	0.000192487	0.000173762	6.21E-05	0.00014929	0.000183288	0.000118341	0.00010521	0.000127763	0.000155745	0.000109088	9.56E-05	0.000107173	0.000141155
HLTF	4.34E-05	6.38E-05	2.07E-05	0.000126324	6.11E-05	3.36E-05	3.86E-05	2.83E-05	3.37E-05	4.70E-05	0.000119443	3.06E-05	7.24E-05
HPS3	3.91E-05	9.72E-05	6.90E-05	0.000114841	5.09E-05	4.47E-05	3.90E-05	4.36E-05	5.05E-05	6.58E-05	0.000238875	1.53E-05	2.17E-05
CP	4.85E-07	3.20E-06	1.00E-08	1.00E-08	1.00E-08	5.05E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TM4SF18	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TM4SF1	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.34E-07	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
