	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
NFKBIL1	3.15E-05	4.74E-05	4.06E-05	4.67E-05	5.66E-05	5.63E-05	4.89E-05	2.67E-05	3.99E-05
LTA	8.72E-07	7.29E-07	9.02E-06	1.76E-06	4.35E-07	1.38E-06	8.19E-07	5.07E-06	1.83E-06
TNF	0.000404235	0.000481908	0.001287644	0.000439898	0.000150412	0.000869312	0.000357965	0.000656145	0.000679836
LTB	2.55E-05	1.56E-05	6.14E-05	3.50E-05	3.74E-05	1.99E-05	2.45E-05	5.28E-05	1.27E-05
LST1	0.000893176	0.000416744	0.00067426	0.000581858	0.000579994	0.000552794	0.000741414	0.000769383	0.000547521
NCR3	1.00E-06	1.32E-07	7.38E-07	7.54E-07	3.38E-07	9.21E-07	4.07E-07	6.40E-07	5.78E-07
AIF1	0.001320763	0.001194856	0.00119964	0.001308221	0.001243912	0.001208349	0.001292244	0.001291511	0.001086461
PRRC2A	0.000100993	0.000104322	7.75E-05	9.04E-05	8.53E-05	8.69E-05	9.75E-05	9.64E-05	8.70E-05
BAG6	0.000162813	0.000154943	0.000147819	0.000131311	0.000116519	0.000123758	0.000122055	0.000181166	0.000160985
APOM	8.89E-06	8.02E-06	7.02E-06	7.79E-06	1.29E-05	9.89E-06	1.14E-05	8.57E-06	9.24E-06
C6orf47	2.40E-05	2.53E-05	2.14E-05	3.16E-05	3.93E-05	2.20E-05	2.52E-05	3.18E-05	3.97E-05
GPANK1	1.79E-05	3.54E-05	2.13E-05	2.83E-05	2.65E-05	2.09E-05	1.77E-05	2.19E-05	2.53E-05
CSNK2B	0.000435668	0.0003409	0.000399549	0.000392288	0.000433297	0.000375155	0.000445729	0.000426323	0.000436222
LY6G5B	1.28E-06	1.39E-06	3.47E-07	5.20E-07	7.30E-07	2.60E-07	5.95E-07	9.85E-07	5.58E-07
LY6G5C	6.74E-06	6.24E-06	6.85E-06	8.18E-06	9.64E-06	9.63E-06	1.01E-05	3.71E-06	6.22E-06
ABHD16A	5.19E-05	7.18E-05	8.53E-05	8.97E-05	0.00010236	8.97E-05	7.64E-05	8.61E-05	7.30E-05
LY6G6C	3.33E-06	2.17E-06	1.05E-06	7.45E-07	7.84E-07	6.97E-07	1.00E-08	1.21E-06	2.24E-06
DDAH2	0.000163884	0.000291794	0.000259882	0.0002769	0.00022816	0.000207231	0.00017788	0.000204739	0.00022901
CLIC1	0.00119147	0.000880072	0.00109309	0.000972469	0.000984874	0.00082703	0.001009754	0.001117611	0.001063974
MSH5	4.37E-06	1.41E-05	8.86E-06	1.06E-05	1.01E-05	1.12E-05	5.06E-06	6.33E-06	5.24E-06
LSM2	5.96E-05	0.00011634	0.000118533	0.000158355	0.000183109	0.000154324	0.00015331	0.00011881	0.000111512
HSPA1L	4.08E-06	2.25E-05	1.63E-05	2.10E-05	3.48E-06	9.63E-06	6.80E-06	5.29E-06	8.59E-06
HSPA1A	0.000467346	0.001504173	0.001192724	0.001142509	0.001371727	0.001628366	0.001063068	0.000722825	0.000752815
HSPA1B	0.000172564	0.001101173	0.000779775	0.000761326	0.000687671	0.00094602	0.000393664	0.000362185	0.000443962
NEU1	9.46E-05	0.000346876	0.000174706	0.000235839	0.000185289	0.000256468	0.000129907	0.000154432	0.000201337
EHMT2	1.26E-05	4.30E-05	2.65E-05	4.13E-05	3.88E-05	4.44E-05	2.40E-05	2.36E-05	2.04E-05
C2	1.25E-05	5.43E-05	2.08E-05	0.000127806	4.53E-05	2.01E-05	1.07E-05	5.05E-05	6.44E-05
ZBTB12	1.67E-07	8.40E-07	1.00E-08	6.26E-07	1.04E-06	1.31E-06	2.61E-07	1.00E-08	1.00E-08
CFB	3.08E-06	1.85E-06	7.16E-06	7.08E-06	5.88E-06	4.72E-06	3.72E-06	1.99E-05	6.56E-06
NELFE	0.000127566	0.000105374	0.000120586	0.000125368	0.000118924	0.000102305	0.000130136	0.000136968	0.000143299
SKIV2L	2.26E-05	3.14E-05	2.70E-05	2.63E-05	2.46E-05	2.59E-05	3.06E-05	2.09E-05	2.59E-05
DXO	2.22E-05	2.29E-05	2.83E-05	1.97E-05	1.59E-05	1.65E-05	1.88E-05	2.04E-05	2.10E-05
STK19	3.60E-05	2.89E-05	3.15E-05	2.71E-05	2.55E-05	2.24E-05	3.48E-05	3.58E-05	4.10E-05
ATF6B	8.03E-05	0.000109835	0.000101491	0.00010622	0.000115467	0.000110059	0.000115191	7.52E-05	8.95E-05
FKBPL	1.62E-06	5.94E-06	2.33E-06	6.23E-06	6.04E-06	3.77E-06	4.59E-06	5.70E-06	4.36E-06
PRRT1	4.14E-07	4.55E-06	1.40E-07	2.14E-06	3.42E-06	1.81E-06	5.69E-07	1.00E-08	1.60E-06
PPT2	7.00E-07	6.04E-06	9.74E-07	2.98E-06	3.22E-06	2.53E-06	2.05E-06	1.00E-08	1.35E-06
EGFL8	1.81E-07	2.07E-06	1.00E-08	6.81E-07	8.77E-07	1.60E-07	1.11E-06	5.51E-07	2.66E-07
AGPAT1	3.46E-05	5.09E-05	6.48E-05	5.85E-05	6.37E-05	6.44E-05	6.06E-05	3.96E-05	4.81E-05
RNF5	6.99E-05	0.0001074	0.000107271	0.000117247	0.000125341	0.000121437	0.000116828	0.000101424	0.000111879
AGER	1.11E-05	4.63E-06	7.24E-06	6.48E-06	5.23E-06	3.59E-06	5.77E-06	4.36E-06	8.60E-06
PBX2	4.55E-05	4.34E-05	3.64E-05	3.15E-05	2.60E-05	3.36E-05	3.08E-05	3.28E-05	3.09E-05
GPSM3	0.000528222	0.000349541	0.000466824	0.000440844	0.000482778	0.000452457	0.000501932	0.000523207	0.000436659
NOTCH4	8.90E-06	1.02E-05	9.34E-06	1.07E-05	7.95E-06	1.42E-05	9.18E-06	6.42E-06	4.66E-06
TAP2	4.23E-05	3.01E-05	3.11E-05	3.63E-05	1.84E-05	1.61E-05	2.52E-05	0.000104606	3.22E-05
PSMB8	0.000317079	0.000173986	0.000302981	0.000284875	0.000293612	0.000233576	0.000321009	0.000595789	0.000289247
PSMB9	0.000372848	0.000214155	0.00043641	0.000384381	0.000427455	0.000371316	0.000495225	0.000849565	0.000327007
TAP1	0.000140199	7.96E-05	0.000218717	0.000148992	0.000163787	0.000147462	0.000178226	0.000481988	0.000136384
BRD2	0.000337153	0.000436345	0.000447643	0.000323689	0.000337629	0.000443266	0.000363711	0.000383396	0.000437874
RXRB	2.22E-05	4.71E-05	2.52E-05	3.22E-05	2.84E-05	3.14E-05	2.38E-05	1.99E-05	2.60E-05
SLC39A7	3.60E-05	5.26E-05	3.91E-05	6.13E-05	5.86E-05	4.57E-05	4.96E-05	5.54E-05	5.85E-05
HSD17B8	9.12E-06	2.96E-05	2.50E-05	3.44E-05	3.53E-05	3.56E-05	3.55E-05	1.46E-05	2.60E-05
RING1	5.37E-05	6.74E-05	6.87E-05	7.31E-05	7.86E-05	6.45E-05	6.01E-05	5.30E-05	7.98E-05
VPS52	1.75E-05	3.55E-05	2.42E-05	3.34E-05	3.50E-05	3.54E-05	2.97E-05	1.83E-05	2.05E-05
B3GALT4	1.19E-05	2.11E-05	1.74E-05	3.21E-05	3.07E-05	2.17E-05	2.19E-05	1.98E-05	2.27E-05
WDR46	3.22E-05	4.21E-05	4.64E-05	5.30E-05	6.20E-05	5.15E-05	5.41E-05	5.24E-05	4.31E-05
PFDN6	6.67E-05	7.73E-05	8.42E-05	9.60E-05	8.84E-05	6.94E-05	8.92E-05	0.000122654	9.91E-05
RGL2	4.25E-05	9.99E-05	5.89E-05	7.23E-05	4.15E-05	6.13E-05	3.36E-05	3.90E-05	4.94E-05
TAPBP	0.000326927	0.000240126	0.000325959	0.000302283	0.000236522	0.000216904	0.000253288	0.000466872	0.000308292
ZBTB22	8.53E-06	1.53E-05	8.17E-06	1.18E-05	1.37E-05	1.16E-05	1.01E-05	1.44E-05	1.15E-05
DAXX	4.12E-05	3.91E-05	4.76E-05	4.18E-05	5.23E-05	4.08E-05	4.52E-05	5.86E-05	5.52E-05
KIFC1	3.40E-06	8.11E-06	4.25E-05	7.95E-06	1.18E-05	1.32E-05	1.69E-05	9.66E-06	2.84E-06
PHF1	6.54E-05	8.55E-05	0.000121697	7.10E-05	6.41E-05	8.11E-05	6.74E-05	6.33E-05	9.90E-05
CUTA	0.000295907	0.000225925	0.000265801	0.000317851	0.000330208	0.000289538	0.000352395	0.000215095	0.000252432
SYNGAP1	6.28E-06	6.98E-06	6.36E-06	7.96E-06	5.84E-06	4.13E-06	5.64E-06	2.44E-06	6.37E-06
ZBTB9	3.59E-07	1.47E-06	1.84E-06	2.20E-06	2.70E-06	1.04E-06	4.56E-07	2.09E-06	1.19E-06
BAK1	1.58E-05	3.08E-05	4.50E-05	4.49E-05	4.75E-05	2.86E-05	2.55E-05	5.55E-05	3.20E-05
ITPR3	1.63E-06	1.14E-06	2.91E-06	1.15E-06	1.05E-06	8.92E-07	1.89E-06	1.00E-08	5.04E-07
UQCC2	7.49E-05	9.57E-05	9.74E-05	0.000165255	0.000171213	0.000100982	0.000148197	0.000148701	0.000130633
LEMD2	2.61E-05	3.79E-05	2.29E-05	3.43E-05	2.95E-05	3.16E-05	2.28E-05	3.35E-05	3.17E-05
HMGA1	0.000365056	0.000191278	0.000342427	0.000226531	0.000282975	0.000271815	0.000444493	0.000381787	0.0003863
NUDT3	0.000116484	0.000170712	0.000173735	0.000196394	0.000267843	0.000244157	0.00028357	0.000179412	0.000125238
PACSIN1	1.44E-07	1.00E-08	1.00E-08	9.71E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SNRPC	0.000128971	0.00014697	0.000162584	0.000242373	0.000237459	0.000147759	0.000201878	0.000235927	0.000198437
UHRF1BP1	8.01E-06	3.47E-05	1.37E-05	3.21E-05	2.76E-05	2.90E-05	1.96E-05	2.27E-05	1.55E-05
TAF11	6.74E-05	6.22E-05	5.40E-05	6.14E-05	5.96E-05	5.90E-05	6.94E-05	7.22E-05	6.39E-05
ANKS1A	2.91E-05	8.81E-05	2.24E-05	5.79E-05	3.97E-05	5.84E-05	4.97E-05	2.99E-05	2.53E-05
ZNF76	2.16E-05	3.21E-05	2.38E-05	3.03E-05	2.63E-05	2.84E-05	1.63E-05	1.39E-05	2.53E-05
DEF6	6.70E-05	8.75E-05	0.000134968	0.000104157	0.000108101	0.000126199	9.46E-05	7.01E-05	7.08E-05
PPARD	0.000137683	0.000104011	0.000113087	9.95E-05	6.97E-05	6.57E-05	7.78E-05	9.30E-05	0.000126702
FANCE	1.82E-06	3.40E-06	1.05E-06	2.81E-06	3.36E-06	3.05E-06	3.97E-06	2.41E-06	2.29E-06
FKBP5	0.000390235	0.000647035	0.000273528	0.000391572	0.000510719	0.000625578	0.000617596	0.000347626	0.00034139
ARMC12	1.38E-06	1.91E-06	5.48E-07	2.24E-07	9.88E-07	1.32E-06	1.01E-06	8.16E-07	1.28E-07
SRPK1	3.59E-05	3.93E-05	4.13E-05	3.85E-05	4.14E-05	4.50E-05	3.12E-05	3.24E-05	3.72E-05
MAPK14	5.41E-05	5.06E-05	4.35E-05	4.81E-05	4.10E-05	4.82E-05	3.63E-05	5.54E-05	3.77E-05
MAPK13	2.10E-05	1.04E-05	1.76E-05	4.40E-05	1.66E-05	4.50E-06	6.90E-06	1.19E-05	5.69E-05
BRPF3	2.01E-05	1.37E-05	8.58E-06	1.12E-05	3.83E-06	5.33E-06	6.17E-06	1.00E-05	1.47E-05
PNPLA1	1.35E-05	7.21E-07	4.68E-06	1.10E-06	1.00E-08	1.90E-06	2.94E-06	7.11E-07	4.23E-06
ETV7	4.60E-06	4.39E-06	1.97E-05	1.18E-05	1.01E-05	5.75E-06	8.81E-06	9.68E-05	5.36E-06
PXT1	1.96E-06	3.15E-06	3.97E-06	1.70E-06	5.65E-07	4.92E-06	4.56E-07	1.60E-06	8.36E-07
KCTD20	0.000315918	0.000136618	0.00017377	0.000118626	0.000114321	0.000118046	0.000216231	0.000162221	0.00016729
STK38	8.18E-05	6.31E-05	4.78E-05	4.86E-05	4.96E-05	5.50E-05	5.59E-05	6.90E-05	5.39E-05
SRSF3	0.000456385	0.000430764	0.000410088	0.000335579	0.000345317	0.000350759	0.000480834	0.000372937	0.00034441
CDKN1A	0.001316205	0.000946971	0.0012204	0.000680711	0.000637803	0.001086646	0.000892913	0.0009294	0.00094733
RAB44	7.95E-06	2.32E-07	2.21E-07	3.91E-07	4.00E-07	7.59E-07	5.11E-07	2.40E-06	1.34E-06
CPNE5	1.93E-06	1.21E-06	1.68E-06	1.05E-06	1.78E-07	1.00E-08	3.77E-07	1.00E-08	7.43E-07
PPIL1	6.11E-06	1.51E-05	1.05E-05	2.32E-05	2.09E-05	1.34E-05	8.75E-06	2.44E-05	1.56E-05
C6orf89	4.53E-05	7.91E-05	6.54E-05	8.25E-05	8.28E-05	7.94E-05	8.12E-05	6.85E-05	7.04E-05
MTCH1	0.000275025	0.000271949	0.000228715	0.000251877	0.000268383	0.00024893	0.000248257	0.000265096	0.000278598
FGD2	7.46E-05	0.000207987	8.34E-05	0.000157869	0.00014694	0.000138844	0.000113332	0.00012978	4.29E-05
PIM1	7.85E-05	5.66E-05	0.000130645	6.33E-05	7.65E-05	4.28E-05	6.73E-05	0.000165759	0.000133923
TMEM217	6.02E-05	9.22E-06	3.36E-05	1.10E-05	1.13E-05	1.09E-05	2.13E-05	2.96E-05	2.55E-05
TBC1D22B	1.89E-05	1.26E-05	1.49E-05	1.08E-05	7.85E-06	1.02E-05	8.70E-06	2.37E-05	1.65E-05
RNF8	7.74E-06	1.84E-05	1.60E-05	2.13E-05	1.85E-05	1.62E-05	1.24E-05	1.93E-05	1.64E-05
CMTR1	1.75E-05	2.76E-05	2.19E-05	2.80E-05	2.66E-05	2.73E-05	2.56E-05	3.82E-05	2.14E-05
CCDC167	2.75E-05	2.10E-05	2.94E-05	4.52E-05	4.63E-05	2.12E-05	4.02E-05	7.93E-05	5.14E-05
ZFAND3	0.000155485	0.000144935	0.000174261	0.000132288	0.000138477	0.000162755	0.000118209	0.000135809	0.000149676
BTBD9	1.47E-05	1.82E-05	1.95E-05	1.46E-05	1.58E-05	1.55E-05	1.56E-05	9.78E-06	1.36E-05
GLO1	6.16E-05	0.000119432	9.06E-05	0.000114502	0.000134093	0.000131978	0.000143782	8.07E-05	0.000101166
SAYSD1	9.76E-06	2.32E-05	1.38E-05	2.63E-05	2.69E-05	1.91E-05	1.89E-05	2.40E-05	2.04E-05
KCNK5	2.98E-06	6.57E-07	2.80E-06	4.47E-07	1.35E-07	7.58E-07	2.59E-06	1.71E-06	1.24E-06
KCNK17	1.55E-07	4.01E-07	7.25E-07	1.09E-06	1.85E-06	7.64E-06	1.00E-08	1.00E-08	1.56E-07
DAAM2	1.33E-06	1.50E-05	1.44E-07	1.79E-07	1.40E-07	1.16E-06	8.74E-07	1.00E-08	1.00E-08
MOCS1	1.09E-07	3.14E-06	1.00E-08	1.09E-06	1.73E-06	2.91E-06	1.57E-06	1.00E-08	1.00E-08
UNC5CL	1.30E-06	5.32E-07	9.15E-07	4.91E-07	1.48E-06	5.82E-07	6.10E-07	5.59E-07	1.54E-06
OARD1	2.51E-05	5.97E-05	3.90E-05	4.88E-05	5.26E-05	5.80E-05	3.50E-05	3.77E-05	3.91E-05
NFYA	1.96E-05	2.80E-05	2.70E-05	2.09E-05	2.02E-05	2.70E-05	2.03E-05	1.59E-05	2.40E-05
TREML1	2.58E-07	1.77E-06	1.51E-06	4.11E-06	5.15E-06	1.95E-06	1.70E-06	1.00E-08	2.02E-06
TREM2	3.39E-05	0.000163856	0.000320605	0.000538232	0.000839945	0.000589933	0.000574789	9.54E-05	0.000371727
TREML2	4.17E-06	4.33E-07	3.47E-06	9.64E-07	1.04E-06	4.26E-07	5.34E-07	2.56E-06	2.69E-06
TREM1	0.000698063	0.000161858	0.000541638	0.000177736	0.000175271	0.000157844	0.000429732	0.000329213	0.000714679
FOXP4	1.63E-05	1.20E-05	9.98E-06	1.05E-05	5.27E-06	6.18E-06	1.05E-05	1.69E-05	2.45E-05
TFEB	2.24E-05	3.15E-05	2.61E-05	4.91E-05	5.74E-05	3.90E-05	4.08E-05	3.65E-05	2.79E-05
FRS3	7.57E-07	5.40E-06	2.90E-06	4.01E-06	2.80E-06	2.38E-06	5.44E-07	1.00E-08	1.95E-06
PRICKLE4	7.04E-05	6.08E-05	6.70E-05	7.57E-05	9.61E-05	5.88E-05	8.47E-05	0.000110814	7.30E-05
USP49	1.51E-06	3.20E-06	1.54E-06	3.17E-06	1.99E-06	1.39E-06	4.96E-07	4.49E-06	5.42E-06
MED20	6.60E-06	7.00E-06	4.48E-06	9.74E-06	6.15E-06	5.04E-06	7.69E-06	7.30E-06	7.74E-06
BYSL	9.93E-06	1.08E-05	1.20E-05	1.10E-05	1.83E-05	1.25E-05	1.64E-05	1.95E-05	1.18E-05
CCND3	0.000156499	0.000124405	0.00013849	0.000110496	0.000150397	0.00013181	0.000129213	0.000171743	8.30E-05
TAF8	2.46E-05	4.45E-05	1.77E-05	3.17E-05	3.54E-05	3.80E-05	4.37E-05	2.59E-05	2.34E-05
TRERF1	1.55E-05	1.27E-05	1.74E-05	1.34E-05	1.54E-05	2.02E-05	1.91E-05	1.12E-05	1.07E-05
UBR2	3.93E-05	6.20E-05	4.19E-05	5.23E-05	4.77E-05	4.60E-05	4.67E-05	4.84E-05	4.40E-05
TBCC	2.44E-05	2.89E-05	3.10E-05	3.60E-05	3.63E-05	2.28E-05	2.64E-05	3.71E-05	4.03E-05
C6orf226	4.27E-05	4.47E-05	3.09E-05	4.97E-05	5.69E-05	5.21E-05	5.72E-05	3.96E-05	4.06E-05
PTCRA	1.00E-08	9.90E-07	1.26E-06	3.89E-06	1.07E-06	4.57E-07	1.38E-06	1.00E-08	6.77E-07
CNPY3	0.000427901	0.000446787	0.000391984	0.000472418	0.000530634	0.000533427	0.000565023	0.000343196	0.000360407
PEX6	1.13E-05	1.08E-05	8.44E-06	1.07E-05	1.13E-05	1.22E-05	1.18E-05	6.11E-06	9.04E-06
PPP2R5D	1.09E-05	2.51E-05	1.85E-05	2.53E-05	1.76E-05	2.41E-05	1.73E-05	1.51E-05	1.63E-05
MEA1	0.000116653	0.000127764	0.00014859	0.000201788	0.000211075	0.000152665	0.000184722	0.000179075	0.000208386
KLHDC3	4.51E-05	7.27E-05	4.95E-05	9.08E-05	9.84E-05	8.55E-05	9.15E-05	6.74E-05	7.07E-05
RRP36	1.03E-05	1.35E-05	1.18E-05	1.68E-05	1.43E-05	7.64E-06	9.91E-06	1.83E-05	1.27E-05
CUL7	4.81E-06	8.15E-06	6.67E-06	1.06E-05	9.55E-06	8.69E-06	1.08E-05	1.32E-05	1.01E-05
KLC4	6.20E-06	1.04E-05	7.79E-06	1.22E-05	1.41E-05	1.34E-05	1.04E-05	5.77E-06	1.10E-05
PTK7	2.21E-07	1.14E-06	2.22E-06	5.66E-07	7.70E-07	1.54E-06	4.37E-07	1.00E-08	2.61E-07
SRF	3.27E-05	2.72E-05	1.45E-05	1.73E-05	9.48E-06	1.08E-05	1.20E-05	2.45E-05	1.93E-05
CUL9	1.18E-05	2.02E-05	1.12E-05	2.41E-05	1.61E-05	1.29E-05	1.07E-05	1.27E-05	1.08E-05
DNPH1	8.52E-05	0.000143711	7.81E-05	0.000243766	0.000219356	0.000129258	0.00013195	0.000205699	0.000149798
CRIP3	6.76E-07	4.31E-07	1.19E-06	4.34E-07	4.13E-07	2.37E-07	3.97E-07	5.67E-07	8.95E-08
ZNF318	1.81E-05	2.22E-05	1.87E-05	1.59E-05	1.31E-05	1.56E-05	1.23E-05	2.44E-05	1.63E-05
ABCC10	7.54E-06	1.52E-05	7.21E-06	1.67E-05	1.18E-05	9.85E-06	1.19E-05	9.57E-06	9.54E-06
TJAP1	2.14E-05	2.81E-05	2.05E-05	2.20E-05	1.75E-05	1.80E-05	1.54E-05	2.24E-05	2.70E-05
POLR1C	1.42E-05	3.01E-05	2.36E-05	2.85E-05	3.35E-05	2.21E-05	2.98E-05	3.30E-05	3.07E-05
YIPF3	0.000113031	0.000129653	0.000124122	0.000171705	0.000167625	0.000140237	0.000138506	0.000117553	0.000163353
XPO5	1.12E-05	1.51E-05	1.08E-05	2.02E-05	1.90E-05	1.68E-05	1.58E-05	1.88E-05	1.13E-05
POLH	3.37E-06	8.80E-06	7.12E-06	9.22E-06	1.04E-05	6.79E-06	5.28E-06	4.48E-06	6.72E-06
GTPBP2	1.91E-05	1.82E-05	1.10E-05	1.64E-05	6.69E-06	5.50E-06	1.01E-05	1.73E-05	2.10E-05
MAD2L1BP	3.31E-05	2.67E-05	2.82E-05	2.90E-05	2.56E-05	1.91E-05	2.91E-05	2.75E-05	4.77E-05
RSPH9	3.09E-07	4.30E-07	4.04E-07	2.00E-07	5.63E-07	1.00E-08	1.00E-08	1.07E-06	5.56E-07
VEGFA	0.000673335	0.000361451	0.000434698	0.000286355	0.000262108	0.000344771	0.000561578	0.000262922	0.000382383
C6orf223	2.99E-05	4.87E-06	2.71E-05	5.30E-06	3.82E-06	8.39E-06	1.53E-05	1.48E-05	2.79E-05
TMEM63B	2.53E-05	4.12E-05	4.46E-05	4.08E-05	2.33E-05	2.73E-05	2.42E-05	3.09E-05	3.30E-05
SLC29A1	2.03E-05	6.19E-05	8.57E-05	0.000108747	0.00010874	9.82E-05	6.82E-05	3.47E-05	8.47E-05
HSP90AB1	0.000831784	0.001298696	0.001200053	0.001051169	0.0011621	0.001358335	0.001080592	0.001021453	0.000909685
SLC35B2	9.57E-05	6.40E-05	6.50E-05	8.71E-05	5.66E-05	6.86E-05	4.84E-05	7.01E-05	8.02E-05
NFKBIE	0.000183461	0.000138434	0.000241189	0.000188422	0.000147806	0.000223706	0.00017345	0.000196477	0.000198638
AARS2	2.94E-06	1.02E-05	1.25E-05	1.73E-05	1.15E-05	9.78E-06	6.22E-06	5.54E-06	8.52E-06
CDC5L	7.07E-05	0.000100669	7.60E-05	9.19E-05	0.000114533	9.97E-05	0.00010036	8.71E-05	8.37E-05
SUPT3H	6.79E-06	2.80E-05	2.25E-05	2.21E-05	2.62E-05	3.16E-05	1.66E-05	1.30E-05	1.37E-05
RUNX2	9.46E-06	3.61E-05	3.17E-05	2.99E-05	4.06E-05	6.70E-05	3.67E-05	1.42E-05	2.03E-05
CLIC5	4.68E-07	2.42E-07	9.13E-07	1.73E-07	3.89E-07	1.43E-06	1.00E-08	5.84E-07	1.00E-08
ENPP4	9.38E-06	3.46E-05	1.91E-05	2.51E-05	2.21E-05	2.43E-05	1.44E-05	2.13E-05	2.84E-05
SLC25A27	6.55E-07	1.54E-06	8.64E-07	1.66E-06	2.11E-06	1.97E-06	2.57E-07	7.98E-07	5.80E-07
TDRD6	1.96E-06	3.81E-07	1.40E-06	1.30E-06	2.92E-06	9.60E-07	1.00E-08	6.93E-07	1.88E-06
PLA2G7	0.000122653	4.44E-05	0.000118239	0.000173335	0.000222173	8.60E-05	4.94E-05	0.000185783	0.000169362
ANKRD66	3.00E-07	2.68E-07	1.02E-06	1.76E-06	1.13E-06	2.28E-06	4.96E-07	1.00E-08	6.42E-07
TNFRSF21	5.12E-05	0.000199419	8.79E-05	0.000146845	8.99E-05	0.00012261	0.000134803	4.11E-05	0.000110773
CD2AP	3.54E-05	9.98E-05	5.68E-05	8.21E-05	8.35E-05	8.48E-05	8.50E-05	6.68E-05	6.76E-05
CENPQ	4.23E-06	1.47E-05	8.80E-06	1.49E-05	6.95E-06	7.56E-06	6.27E-06	8.61E-06	1.01E-05
MCM3	6.47E-06	2.68E-05	1.61E-05	2.92E-05	2.89E-05	2.39E-05	2.02E-05	1.83E-05	1.06E-05
PAQR8	2.97E-06	2.80E-05	1.05E-05	3.43E-05	2.84E-05	3.12E-05	1.25E-05	1.77E-05	6.89E-06
EFHC1	5.47E-06	1.93E-05	1.03E-05	1.74E-05	1.23E-05	1.91E-05	8.06E-06	2.65E-06	1.94E-05
TRAM2	7.43E-06	1.19E-05	4.35E-06	8.82E-06	3.79E-06	4.59E-06	7.10E-06	5.20E-06	5.83E-06
TMEM14A	1.54E-06	1.68E-05	4.06E-05	2.67E-05	1.90E-05	1.64E-05	5.14E-06	1.24E-05	1.36E-05
GSTA4	7.12E-07	3.12E-06	1.60E-06	4.36E-06	2.12E-06	1.35E-06	2.04E-07	3.27E-07	1.44E-06
ICK	1.12E-05	2.29E-05	1.24E-05	1.73E-05	1.84E-05	2.22E-05	1.45E-05	7.31E-06	1.02E-05
FBXO9	8.13E-05	6.34E-05	5.91E-05	6.27E-05	7.24E-05	6.66E-05	7.55E-05	8.33E-05	6.87E-05
ELOVL5	0.000163947	0.000142214	0.000217749	0.000126634	0.000142575	0.000189976	0.000137736	0.000159009	0.000116672
GCLC	1.81E-05	6.22E-05	1.82E-05	7.21E-05	0.0001279	0.000124511	6.94E-05	3.63E-05	2.17E-05
LRRC1	1.75E-07	1.52E-06	1.13E-06	1.38E-06	2.83E-06	2.88E-06	6.22E-07	4.39E-07	6.54E-07
DST	2.47E-05	0.000123062	0.00010264	0.000118545	0.000109822	0.000137854	6.69E-05	3.16E-05	4.65E-05
BEND6	1.00E-08	5.79E-07	4.84E-06	2.11E-06	3.07E-06	5.96E-06	5.25E-07	8.52E-07	1.40E-07
KIAA1586	6.04E-06	3.00E-05	1.01E-05	2.08E-05	2.57E-05	2.29E-05	1.37E-05	7.60E-06	1.52E-05
ZNF451	3.74E-05	5.88E-05	3.74E-05	4.63E-05	4.48E-05	4.01E-05	4.10E-05	4.75E-05	4.19E-05
BAG2	3.50E-06	1.48E-05	9.71E-06	1.46E-05	1.61E-05	1.49E-05	1.00E-05	4.64E-06	7.08E-06
RAB23	1.05E-06	2.76E-06	1.23E-06	3.01E-06	2.96E-06	2.51E-06	7.91E-07	4.09E-07	1.18E-06
PRIM2	8.53E-06	2.00E-05	1.78E-05	2.01E-05	1.65E-05	2.37E-05	1.60E-05	1.03E-05	1.34E-05
KHDRBS2	3.20E-06	2.37E-05	8.04E-06	9.12E-06	3.17E-06	5.83E-06	4.46E-06	2.21E-06	5.83E-06
FKBP1C	2.87E-07	5.96E-07	2.93E-07	3.62E-07	2.82E-07	1.00E-08	3.61E-07	1.00E-08	2.77E-07
PTP4A1	0.000201786	0.000190876	0.000294932	0.000184776	0.000215321	0.000212657	0.000233255	0.00021508	0.000217026
PHF3	6.63E-05	0.000143813	9.68E-05	0.000116577	0.000117432	0.000117341	8.62E-05	8.06E-05	9.08E-05
EYS	1.20E-07	2.98E-07	1.27E-07	2.25E-07	1.00E-08	1.19E-07	2.29E-07	1.00E-08	1.00E-08
LMBRD1	6.47E-05	0.000179019	0.000130943	0.000176513	0.000205403	0.000221037	0.000110702	6.09E-05	0.000139403
FAM135A	9.93E-06	3.17E-05	2.66E-05	3.63E-05	3.86E-05	3.70E-05	2.78E-05	2.31E-05	1.80E-05
SMAP1	0.000117384	0.000114316	0.000117994	0.000128444	0.00013529	0.000104491	0.000127044	0.000128655	0.000131741
B3GAT2	8.21E-07	6.87E-07	1.65E-06	9.45E-07	1.41E-06	7.11E-07	7.17E-07	1.27E-06	9.63E-07
OGFRL1	0.000129142	0.000305806	0.000370314	0.000251127	0.000287009	0.000379741	0.000294275	0.0001378	0.000133288
KHDC1	1.05E-07	3.00E-07	5.66E-07	2.78E-07	7.55E-07	3.97E-07	8.95E-07	3.36E-07	4.64E-07
OOEP	2.46E-07	1.10E-06	1.01E-06	5.38E-07	1.22E-06	8.72E-07	2.82E-07	1.00E-08	1.00E-08
