"CD8.c06.Tem.GZMK"	"CD8.c07.Temra.CX3CR1"	"CD8.c02.Tm.IL7R"	"CD8.c16.MAIT.SLC4A10"	"CD8.c01.Tn.MAL"	"CD8.c05.Tem.CXCR5"	"CD8.c09.Tk.KIR2DL4"	"CD8.c03.Tm.RPS12"	"CD8.c04.Tm.CD52"	"CD8.c10.Trm.ZNF683"	"CD8.c17.Tm.NME1"	"CD8.c15.ISG.IFIT1"	"CD8.c08.Tk.TYROBP"	"CD8.c11.Tex.PDCD1"	"CD8.c14.Tex.TCF7"	"CD8.c12.Tex.CXCL13"
"PUSL1"	2.07752734289818e-05	2.92442709584817e-05	1.99200188772422e-05	2.35667256449523e-05	2.67321049448184e-05	1.79685257866366e-05	1.00036054292582e-05	2.45801087681037e-05	3.58369129867577e-06	2.36555159985098e-05	9.22551752106029e-06	1.36750547017541e-05	1.78680844622652e-05	1.81824290725359e-05	9.53642720352144e-06	5.9086662497714e-06
"CPSF3L"	6.34594465885556e-05	6.80461215033757e-05	6.82018146545544e-05	8.2458539757333e-05	7.314418195424e-05	7.97669821700627e-05	5.99716325755493e-05	7.06490627082981e-05	0.000110794430258949	7.35378374200236e-05	6.45186226474221e-05	9.90816465877176e-05	6.25132956179284e-05	5.45272872176078e-05	7.62214176281715e-05	0.000117983324995428
"CPTP"	1.84680208257616e-05	2.02082235713147e-05	2.48975235965527e-05	1.96406047041269e-05	3.79835175531631e-05	1.26866064376259e-05	1.00036054292582e-05	3.08126359601296e-06	2.14521477920546e-05	2.49511607107569e-05	9.22551752106029e-06	1.70913183771927e-05	2.67971266933979e-05	6.06747635751198e-06	9.53642720352144e-06	1.18073324995428e-05
"TAS1R3"	1e-08	5.41532199245123e-07	5.07750471931054e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1.79684564933788e-06	3.33911178061778e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"DVL1"	3.47087890483031e-06	3.19919319547073e-06	1.50325141579316e-06	1e-08	2.82285315208615e-06	1.06638386980215e-06	5.00680271462911e-06	3.08126359601296e-06	1.07310738960273e-05	2.925200602556e-06	1e-08	1e-08	1e-08	1e-08	9.53642720352144e-06	1e-08
"MXRA8"	1e-08	1e-08	1e-08	1e-08	5.6357063041723e-06	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	6.06747635751198e-06	1e-08	1e-08
"AURKAIP1"	0.000162671308527024	0.000178604818946361	0.000137886880724902	0.000160980958573841	0.000149091217060566	0.000148431933707203	0.000119933265151099	0.000101361698668428	0.000142957651947031	0.000167148167879878	0.000129027245294844	0.000153741865394734	0.000223236055778316	0.000145389432580288	0.000219117825680993	0.000117983324995428
"CCNL2"	0.0001142190038594	5.74154775184732e-05	9.60758410826935e-05	0.000117793628224761	0.000111117699507403	0.000107232962784919	7.49620407194367e-05	9.21479078803889e-05	0.000134023423700341	8.13117056935063e-05	6.45186226474221e-05	0.000112746701289472	3.57261689245305e-05	7.87571926476557e-05	0.000219117825680993	0.000112084658745657
"ATAD3C"	1.1636263016101e-06	1e-08	1.00550094386211e-06	1.97306047041269e-06	2.82285315208615e-06	5.38191934901077e-07	1e-08	6.15252719202592e-06	1.79684564933788e-06	1.62955589030889e-06	1e-08	1e-08	1e-08	1e-08	1e-08	5.9086662497714e-06
"ATAD3B"	2.1928899730592e-05	1.96766913720695e-05	2.24087712368974e-05	3.33820279970158e-05	2.81385315208615e-05	2.11376773960431e-05	1.00036054292582e-05	2.45801087681037e-05	1.78784564933788e-05	2.0416404217892e-05	9.22551752106029e-06	2.39238457280698e-05	1.78680844622652e-05	6.06747635751198e-06	2.85892816105643e-05	3.54019974986284e-05
"ATAD3A"	3.47087890483031e-06	1.43613693796183e-05	1.09605103824832e-05	9.82530235206345e-06	8.44855945625846e-06	1.16302225678237e-05	5.00680271462911e-06	9.22379078803889e-06	3.58369129867577e-06	9.07951298572979e-06	1e-08	1.70913183771927e-05	8.93904223113262e-06	1.2124952715024e-05	1e-08	1e-08
"TMEM240"	1.1636263016101e-06	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	3.33911178061778e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"SSU72"	0.000186897460860837	0.00019508231712296	0.000236939224639182	0.000186500744689206	0.000244728224231495	0.000198610167522805	0.000124930067865728	0.000221140978912933	0.000221578860517898	0.0002186500451917	0.000202751385463327	0.00016399065642105	0.000223236055778316	0.000175676814367847	0.000161959262459865	0.000235956649990856
"C1orf233"	1.1636263016101e-06	1.07306439849025e-06	1e-08	1.97306047041269e-06	1e-08	1e-08	1e-08	1e-08	1e-08	3.33911178061778e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"MIB2"	4.03869205563536e-05	4.30641081388549e-05	4.33142910580017e-05	3.73081489378411e-05	2.95449580969046e-05	5.86393047740196e-05	3.49876190024038e-05	9.21479078803889e-05	6.61232890255017e-05	4.47097425725254e-05	5.53031051263618e-05	3.41726367543854e-05	8.03713800801936e-05	4.24123345025839e-05	3.81157088140858e-05	6.48953287474854e-05
"MMP23B"	6.93175780966062e-06	2.87127387592366e-05	3.49425330351738e-06	7.86224188165076e-06	1.41642657604308e-06	1.11020306329226e-05	1.50004081438873e-05	3.08126359601296e-06	8.94422824668942e-06	4.22084531480312e-06	1e-08	6.84252735087707e-06	8.93904223113262e-06	1e-08	1e-08	5.9086662497714e-06
"CDK11B"	9.11464778271981e-05	6.48569283079049e-05	7.61658222054513e-05	8.44216002277457e-05	9.14277274427999e-05	0.000107232962784919	0.00010993965972184	7.06490627082981e-05	7.50575172721911e-05	8.35790839399388e-05	8.29496576895427e-05	8.20003282105249e-05	9.82294645424588e-05	9.69296217201917e-05	0.000104800699238736	0.000112084658745657
"SLC35E2B"	3.46187890483031e-05	1.96766913720695e-05	3.6345784450967e-05	3.53450884674284e-05	3.09513846729477e-05	3.59270515732733e-05	3.49876190024038e-05	3.37938995561426e-05	6.96969803241775e-05	3.30489401623014e-05	1.84410350421206e-05	2.73401094035083e-05	8.93904223113262e-06	3.63548581450719e-05	3.81157088140858e-05	1.77059987493142e-05
"CDK11A"	9.69146093352486e-05	5.31632199245123e-05	8.2636578340555e-05	7.26432374052696e-05	6.75184756500677e-05	9.19153966727875e-05	5.49748298609202e-05	5.22214811322204e-05	8.93522824668942e-05	6.83552585710352e-05	3.68720700842412e-05	5.80864824824551e-05	8.93004223113262e-05	7.87571926476557e-05	0.000142906408052822	0.000123881991245199
"SLC35E2"	1.50071419209313e-05	8.51451518792196e-06	1.44447636860006e-05	2.16036651745396e-05	7.04213288021538e-06	1.21584145027248e-05	1e-08	6.15252719202592e-06	2.85995303894062e-05	1.84729371495214e-05	9.22551752106029e-06	6.84252735087707e-06	1e-08	1.81824290725359e-05	9.53642720352144e-06	1.77059987493142e-05
"NADK"	1.73143945241515e-05	3.13703997554622e-05	1.74312665175869e-05	5.89918141123807e-06	1.26678391843877e-05	1.21584145027248e-05	2.99908162877747e-05	1.84375815760778e-05	1.6091610844041e-05	1.23186247663476e-05	9.22551752106029e-06	2.05075820526312e-05	8.93904223113262e-06	1.2124952715024e-05	1.90628544070429e-05	1e-08
"GNB1"	0.000104989993446519	0.000100469585657328	8.96050849475898e-05	0.000115830567754349	8.72084477146707e-05	8.98026289331832e-05	0.000164904489582761	8.293411709235e-05	8.57785911682184e-05	9.65355310624099e-05	0.000138242762815904	0.00011616296496491	7.1442337849061e-05	0.00012115952715024	0.000152432835256343	0.000159273988743828
"TMEM52"	1.1636263016101e-06	3.73072539471586e-06	1.00550094386211e-06	1e-08	1e-08	1.06638386980215e-06	1e-08	1e-08	1e-08	9.81733534185335e-07	1e-08	1e-08	8.93904223113262e-06	1e-08	1e-08	1e-08
"GABRD"	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	3.33911178061778e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
